GEOID_2019,ST_ABBREV,TURBZNAME,TURBZCODE,TLIFENAME,TLIFECODE,TSEGNAME,households,urbanization,lifemode,segment
240150313023,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240150314001,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240150314002,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240178501011,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178501012,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178501021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178501022,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178502011,MD,Suburban Periphery,4,Scholars and Patriots,14,Military Proximity,65,Suburban Periphery,Scholars and Patriots,Military Proximity
240178502021,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240178502022,MD,Urban Periphery,2,GenXurban,5,Rustbelt Traditions,19,Urban Periphery,GenXurban,Rustbelt Traditions
240178502023,MD,Urban Periphery,2,Ethnic Enclaves,7,American Dreamers,29,Urban Periphery,Ethnic Enclaves,American Dreamers
240178503001,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178503002,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240178504001,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178504002,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178504003,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178505001,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178505002,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178506001,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178506002,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178506003,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178507061,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507062,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240178507081,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507082,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507091,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507092,MD,Urban Periphery,2,Middle Ground,8,City Lights,33,Urban Periphery,Middle Ground,City Lights
240178507093,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240178507101,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240178507102,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507111,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240178507112,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240178507113,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507121,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240178507122,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240178507131,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240178507132,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178508011,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178508012,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178508013,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178508014,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178508021,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240178508022,MD,Principal Urban Center,1,Midtown Singles,11,City Strivers,51,Principal Urban Center,Midtown Singles,City Strivers
240178508023,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178509011,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240178509012,MD,Principal Urban Center,1,Midtown Singles,11,City Strivers,51,Principal Urban Center,Midtown Singles,City Strivers
240178509013,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240178509021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178509022,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178509023,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240178509041,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240178509042,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178509051,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240178509052,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240178509061,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240178509062,MD,Urban Periphery,2,Ethnic Enclaves,7,American Dreamers,29,Urban Periphery,Ethnic Enclaves,American Dreamers
240178509063,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240178510011,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240178510012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240178510021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178510022,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240178510023,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240178510024,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240178510025,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178510026,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178511001,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178511002,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178512001,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240178512002,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178512003,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240178512004,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240178513011,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178513012,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178513021,MD,,,,,Unclassified,68,NA,NA,Unclassified
240178513022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178513023,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178514001,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240178514002,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240178514003,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178514004,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240178515001,MD,Semirural,5,Family Landscapes,4,Middleburg,15,Semirural,Family Landscapes,Middleburg
240178515002,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240178515003,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240199701001,MD,Rural,6,Rustic Outposts,10,Southern Satellites,46,Rural,Rustic Outposts,Southern Satellites
240199701002,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240199701003,MD,Rural,6,Rustic Outposts,10,Rural Bypasses,50,Rural,Rustic Outposts,Rural Bypasses
240199702001,MD,Rural,6,Rustic Outposts,10,Southern Satellites,46,Rural,Rustic Outposts,Southern Satellites
240199702002,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240199702003,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240199702004,MD,Semirural,5,Cozy Country Living,6,Heartland Communities,26,Semirural,Cozy Country Living,Heartland Communities
240199703001,MD,Rural,6,Cozy Country Living,6,The Great Outdoors,23,Rural,Cozy Country Living,The Great Outdoors
240199703002,MD,Rural,6,Cozy Country Living,6,Salt of the Earth,22,Rural,Cozy Country Living,Salt of the Earth
240199703003,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240199703004,MD,Rural,6,Rustic Outposts,10,Southern Satellites,46,Rural,Rustic Outposts,Southern Satellites
240199704001,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240199704002,MD,Metro Cities,3,Middle Ground,8,Front Porches,37,Metro Cities,Middle Ground,Front Porches
240199704003,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240199704004,MD,Metro Cities,3,GenXurban,5,In Style,17,Metro Cities,GenXurban,In Style
240199705001,MD,Metro Cities,3,Senior Styles,9,Social Security Set,45,Metro Cities,Senior Styles,Social Security Set
240199705002,MD,Semirural,5,Hometown,12,Small Town Simplicity,58,Semirural,Hometown,Small Town Simplicity
240199705003,MD,Metro Cities,3,Midtown Singles,11,City Commons,55,Metro Cities,Midtown Singles,City Commons
240199706001,MD,Metro Cities,3,Middle Ground,8,Front Porches,37,Metro Cities,Middle Ground,Front Porches
240199706002,MD,Urban Periphery,2,GenXurban,5,Rustbelt Traditions,19,Urban Periphery,GenXurban,Rustbelt Traditions
240199706003,MD,Metro Cities,3,Middle Ground,8,Front Porches,37,Metro Cities,Middle Ground,Front Porches
240199707021,MD,Semirural,5,Rustic Outposts,10,Down the Road,49,Semirural,Rustic Outposts,Down the Road
240199707022,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240199707023,MD,Suburban Periphery,4,Senior Styles,9,Silver & Gold,40,Suburban Periphery,Senior Styles,Silver & Gold
240199707024,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240199708041,MD,Rural,6,Cozy Country Living,6,Rural Resort Dwellers,25,Rural,Cozy Country Living,Rural Resort Dwellers
240199708042,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240199709001,MD,Rural,6,Cozy Country Living,6,Prairie Living,24,Rural,Cozy Country Living,Prairie Living
240199709002,MD,Rural,6,Rustic Outposts,10,Rooted Rural,47,Rural,Rustic Outposts,Rooted Rural
240217402001,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217402002,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217402003,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217402004,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217501001,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240217501002,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240217502001,MD,Principal Urban Center,1,Uptown Individuals,3,Laptops and Lattes,10,Principal Urban Center,Uptown Individuals,Laptops and Lattes
240217502002,MD,Principal Urban Center,1,Uptown Individuals,3,Metro Renters,11,Principal Urban Center,Uptown Individuals,Metro Renters
240217503001,MD,Metro Cities,3,Midtown Singles,11,Set to Impress,54,Metro Cities,Midtown Singles,Set to Impress
240217503002,MD,Metro Cities,3,Midtown Singles,11,Set to Impress,54,Metro Cities,Midtown Singles,Set to Impress
240217505031,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240217505032,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240217505033,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240217505034,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240217505035,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240217505041,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217505042,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240217505043,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240217505044,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240217505051,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240217505052,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217505053,MD,Urban Periphery,2,Midtown Singles,11,Metro Fusion,53,Urban Periphery,Midtown Singles,Metro Fusion
240217505061,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217505062,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240217505063,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217506001,MD,Suburban Periphery,4,Upscale Avenues,2,Urban Chic,6,Suburban Periphery,Upscale Avenues,Urban Chic
240217506002,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217506003,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217507011,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217507012,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240217507013,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217507021,MD,Metro Cities,3,Middle Ground,8,Old and Newcomers,38,Metro Cities,Middle Ground,Old and Newcomers
240217507022,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240217507023,MD,Metro Cities,3,GenXurban,5,In Style,17,Metro Cities,GenXurban,In Style
240217508011,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217508012,MD,Metro Cities,3,Midtown Singles,11,Young and Restless,52,Metro Cities,Midtown Singles,Young and Restless
240217508013,MD,Metro Cities,3,Middle Ground,8,Emerald City,34,Metro Cities,Middle Ground,Emerald City
240217508021,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217508022,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217508023,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217508031,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240217508032,MD,Suburban Periphery,4,GenXurban,5,Parks and Rec,18,Suburban Periphery,GenXurban,Parks and Rec
240217508033,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217510011,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217510021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217510022,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217510023,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217510024,MD,Suburban Periphery,4,Family Landscapes,4,Home Improvement,14,Suburban Periphery,Family Landscapes,Home Improvement
240217510031,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217510032,MD,Urban Periphery,2,Middle Ground,8,Bright Young Professionals,35,Urban Periphery,Middle Ground,Bright Young Professionals
240217510033,MD,Metro Cities,3,Senior Styles,9,Retirement Communities,44,Metro Cities,Senior Styles,Retirement Communities
240217510041,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217510042,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217512011,MD,Suburban Periphery,4,Scholars and Patriots,14,Military Proximity,65,Suburban Periphery,Scholars and Patriots,Military Proximity
240217512012,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217512013,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217512021,MD,Suburban Periphery,4,Senior Styles,9,Golden Years,41,Suburban Periphery,Senior Styles,Golden Years
240217512022,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217512023,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217512024,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217512031,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217512032,MD,Suburban Periphery,4,Senior Styles,9,The Elders,42,Suburban Periphery,Senior Styles,The Elders
240217512033,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240217513011,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217513012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217513021,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217513022,MD,Suburban Periphery,4,GenXurban,5,Comfortable Empty Nesters,16,Suburban Periphery,GenXurban,Comfortable Empty Nesters
240217516001,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240217516002,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240217517011,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217517012,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217517013,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217517021,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217517022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217517023,MD,Rural,6,Cozy Country Living,6,Green Acres,21,Rural,Cozy Country Living,Green Acres
240217518011,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217518012,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217518013,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240217518014,MD,Suburban Periphery,4,Upscale Avenues,2,Enterprising Professionals,9,Suburban Periphery,Upscale Avenues,Enterprising Professionals
240217518021,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217518022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217518023,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217519011,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217519012,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240217519013,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240217519021,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217519022,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217519023,MD,Suburban Periphery,4,Upscale Avenues,2,Pleasantville,7,Suburban Periphery,Upscale Avenues,Pleasantville
240217519031,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217519032,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217519033,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217519034,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217519035,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217519036,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217519041,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217519042,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217520011,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217520012,MD,Suburban Periphery,4,Family Landscapes,4,Soccer Moms,13,Suburban Periphery,Family Landscapes,Soccer Moms
240217520013,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217521011,MD,Suburban Periphery,4,Affluent Estates,1,Professional Pride,2,Suburban Periphery,Affluent Estates,Professional Pride
240217521012,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217521021,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217521022,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217521023,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217521024,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217522011,MD,Suburban Periphery,4,Affluent Estates,1,Savvy Suburbanites,4,Suburban Periphery,Affluent Estates,Savvy Suburbanites
240217522012,MD,Suburban Periphery,4,Affluent Estates,1,Exurbanites,5,Suburban Periphery,Affluent Estates,Exurbanites
240217522021,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217522022,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
240217522023,MD,Suburban Periphery,4,Affluent Estates,1,Boomburbs,3,Suburban Periphery,Affluent Estates,Boomburbs
